
======== INPUT FILES ========
+-----------+----------------+
| cell_id   | basename       |
|-----------+----------------|
| o1b01     | barcode01.pod5 |
| o1b02     | barcode02.pod5 |
| o1b03     | barcode03.pod5 |
| o1b04     | barcode04.pod5 |
| o1b05     | barcode05.pod5 |
| o1b06     | barcode06.pod5 |
| o1b07     | barcode07.pod5 |
| o1b08     | barcode08.pod5 |
| o1b09     | barcode09.pod5 |
| o1b10     | barcode10.pod5 |
| o1b11     | barcode11.pod5 |
| o1b12     | barcode12.pod5 |
| o1b13     | barcode13.pod5 |
| o1b14     | barcode14.pod5 |
| o1b15     | barcode15.pod5 |
| o1b16     | barcode16.pod5 |
| o1b17     | barcode17.pod5 |
| o1b18     | barcode18.pod5 |
| o1b19     | barcode19.pod5 |
| o1b20     | barcode20.pod5 |
| o1b21     | barcode21.pod5 |
| o1b22     | barcode22.pod5 |
| o1b23     | barcode23.pod5 |
| o1b24     | barcode24.pod5 |
| o1b25     | barcode25.pod5 |
| o1b26     | barcode26.pod5 |
| o1b27     | barcode27.pod5 |
| o1b28     | barcode28.pod5 |
| o1b29     | barcode29.pod5 |
| o1b30     | barcode30.pod5 |
| o1b31     | barcode31.pod5 |
| o1b32     | barcode32.pod5 |
| o1b33     | barcode33.pod5 |
| o1b34     | barcode34.pod5 |
| o1b35     | barcode35.pod5 |
| o1b36     | barcode36.pod5 |
| o1b37     | barcode37.pod5 |
| o1b38     | barcode38.pod5 |
| o1b39     | barcode39.pod5 |
| o1b40     | barcode40.pod5 |
| o1b41     | barcode41.pod5 |
| o1b42     | barcode42.pod5 |
| o1b43     | barcode43.pod5 |
| o1b44     | barcode44.pod5 |
| o1b45     | barcode45.pod5 |
| o1b46     | barcode46.pod5 |
| o1b47     | barcode47.pod5 |
| o1b48     | barcode48.pod5 |
| o1b49     | barcode49.pod5 |
| o1b50     | barcode50.pod5 |
| o1b51     | barcode51.pod5 |
| o1b52     | barcode52.pod5 |
| o1b53     | barcode53.pod5 |
| o1b54     | barcode54.pod5 |
| o1b55     | barcode55.pod5 |
| o1b56     | barcode56.pod5 |
| o1b57     | barcode57.pod5 |
| o1b58     | barcode58.pod5 |
| o1b59     | barcode59.pod5 |
| o1b60     | barcode60.pod5 |
| o1b61     | barcode61.pod5 |
| o1b62     | barcode62.pod5 |
| o1b63     | barcode63.pod5 |
| o1b64     | barcode64.pod5 |
| o1b65     | barcode65.pod5 |
| o1b66     | barcode66.pod5 |
| o1b67     | barcode67.pod5 |
| o1b68     | barcode68.pod5 |
| o1b69     | barcode69.pod5 |
| o1b70     | barcode70.pod5 |
| o1b71     | barcode71.pod5 |
| o1b72     | barcode72.pod5 |
| o1b73     | barcode73.pod5 |
| o1b74     | barcode74.pod5 |
| o1b75     | barcode75.pod5 |
| o1b76     | barcode76.pod5 |
| o1b77     | barcode77.pod5 |
| o1b78     | barcode78.pod5 |
| o1b79     | barcode79.pod5 |
| o1b80     | barcode80.pod5 |
| o1b81     | barcode81.pod5 |
| o1b82     | barcode82.pod5 |
| o1b83     | barcode83.pod5 |
| o1b84     | barcode84.pod5 |
| o1b85     | barcode85.pod5 |
| o1b86     | barcode86.pod5 |
| o1b87     | barcode87.pod5 |
| o1b88     | barcode88.pod5 |
| o1b89     | barcode89.pod5 |
| o1b90     | barcode90.pod5 |
| o1b91     | barcode91.pod5 |
| o1b92     | barcode92.pod5 |
| o1b93     | barcode93.pod5 |
| o1b94     | barcode94.pod5 |
| o1b95     | barcode95.pod5 |
| o1b96     | barcode96.pod5 |
| o2b01     | barcode01.pod5 |
| o2b02     | barcode02.pod5 |
| o2b03     | barcode03.pod5 |
| o2b04     | barcode04.pod5 |
| o2b05     | barcode05.pod5 |
| o2b06     | barcode06.pod5 |
| o2b07     | barcode07.pod5 |
| o2b08     | barcode08.pod5 |
| o2b09     | barcode09.pod5 |
| o2b10     | barcode10.pod5 |
| o2b11     | barcode11.pod5 |
| o2b12     | barcode12.pod5 |
| o2b13     | barcode13.pod5 |
| o2b15     | barcode15.pod5 |
| o2b16     | barcode16.pod5 |
| o2b17     | barcode17.pod5 |
| o2b18     | barcode18.pod5 |
| o2b19     | barcode19.pod5 |
| o2b20     | barcode20.pod5 |
| o2b21     | barcode21.pod5 |
| o2b22     | barcode22.pod5 |
| o2b23     | barcode23.pod5 |
| o2b24     | barcode24.pod5 |
| o2b26     | barcode26.pod5 |
| o2b27     | barcode27.pod5 |
| o2b28     | barcode28.pod5 |
| o2b29     | barcode29.pod5 |
| o2b30     | barcode30.pod5 |
| o2b31     | barcode31.pod5 |
| o2b32     | barcode32.pod5 |
| o2b33     | barcode33.pod5 |
| o2b34     | barcode34.pod5 |
| o2b35     | barcode35.pod5 |
| o2b36     | barcode36.pod5 |
| o2b37     | barcode37.pod5 |
| o2b38     | barcode38.pod5 |
| o2b39     | barcode39.pod5 |
| o2b40     | barcode40.pod5 |
| o2b41     | barcode41.pod5 |
| o2b42     | barcode42.pod5 |
| o2b43     | barcode43.pod5 |
| o2b44     | barcode44.pod5 |
| o2b45     | barcode45.pod5 |
| o2b46     | barcode46.pod5 |
| o2b48     | barcode48.pod5 |
| o2b49     | barcode49.pod5 |
| o2b50     | barcode50.pod5 |
| o2b51     | barcode51.pod5 |
| o2b52     | barcode52.pod5 |
| o2b53     | barcode53.pod5 |
| o2b54     | barcode54.pod5 |
| o2b55     | barcode55.pod5 |
| o2b56     | barcode56.pod5 |
| o2b57     | barcode57.pod5 |
| o2b58     | barcode58.pod5 |
| o2b59     | barcode59.pod5 |
| o2b60     | barcode60.pod5 |
